4,country0,city0
8,country1,city0
3,country10,city0
8,country11,city0
9,country12,city0
6,country13,city0
7,country14,city0
6,country15,city0
6,country16,city0
7,country17,city0
5,country18,city0
1,country19,city0
2,country2,city0
7,country20,city0
6,country21,city0
9,country22,city0
8,country23,city0
8,country24,city0
9,country25,city0
7,country26,city0
5,country27,city0
11,country28,city0
5,country3,city0
12,country4,city0
9,country5,city0
7,country6,city0
14,country7,city0
6,country8,city0
4,country9,city0
11,country0,city1
7,country1,city1
5,country10,city1
5,country11,city1
13,country12,city1
8,country13,city1
2,country14,city1
9,country15,city1
9,country16,city1
11,country17,city1
5,country18,city1
5,country19,city1
7,country2,city1
10,country20,city1
12,country21,city1
13,country22,city1
8,country23,city1
6,country24,city1
8,country25,city1
5,country26,city1
9,country27,city1
5,country28,city1
9,country3,city1
4,country4,city1
7,country5,city1
4,country6,city1
7,country7,city1
12,country8,city1
2,country9,city1
6,country0,city10
9,country1,city10
12,country10,city10
10,country11,city10
1,country12,city10
5,country13,city10
4,country14,city10
4,country15,city10
4,country16,city10
11,country17,city10
6,country18,city10
5,country19,city10
6,country2,city10
3,country20,city10
8,country21,city10
3,country22,city10
8,country23,city10
5,country24,city10
9,country25,city10
11,country26,city10
7,country27,city10
8,country28,city10
7,country3,city10
8,country4,city10
4,country5,city10
5,country6,city10
6,country7,city10
8,country8,city10
8,country9,city10
9,country0,city100
5,country1,city100
6,country10,city100
9,country11,city100
5,country12,city100
10,country13,city100
5,country14,city100
6,country15,city100
7,country16,city100
7,country17,city100
7,country18,city100
6,country19,city100
8,country2,city100
8,country20,city100
7,country21,city100
3,country22,city100
11,country23,city100
6,country24,city100
9,country25,city100
9,country26,city100
8,country27,city100
10,country28,city100
8,country3,city100
10,country4,city100
8,country5,city100
8,country6,city100
8,country7,city100
6,country8,city100
7,country9,city100
8,country0,city101
10,country1,city101
17,country10,city101
3,country11,city101
9,country12,city101
6,country13,city101
6,country14,city101
3,country15,city101
7,country16,city101
3,country17,city101
6,country18,city101
2,country19,city101
8,country2,city101
6,country20,city101
8,country21,city101
9,country22,city101
9,country23,city101
3,country24,city101
9,country25,city101
2,country26,city101
8,country27,city101
6,country28,city101
8,country3,city101
8,country4,city101
8,country5,city101
1,country6,city101
12,country7,city101
10,country8,city101
6,country9,city101
7,country0,city102
5,country1,city102
12,country10,city102
8,country11,city102
5,country12,city102
10,country13,city102
2,country14,city102
8,country15,city102
5,country16,city102
8,country17,city102
4,country18,city102
7,country19,city102
7,country2,city102
3,country20,city102
6,country21,city102
1,country22,city102
5,country23,city102
6,country24,city102
8,country25,city102
4,country26,city102
13,country27,city102
8,country28,city102
2,country3,city102
4,country4,city102
12,country5,city102
2,country6,city102
6,country7,city102
3,country8,city102
11,country9,city102
4,country0,city103
9,country1,city103
5,country10,city103
5,country11,city103
3,country12,city103
4,country13,city103
9,country14,city103
6,country15,city103
6,country16,city103
6,country17,city103
8,country18,city103
12,country19,city103
5,country2,city103
6,country20,city103
5,country21,city103
7,country22,city103
5,country23,city103
6,country24,city103
4,country25,city103
9,country26,city103
7,country27,city103
6,country28,city103
13,country3,city103
8,country4,city103
9,country5,city103
14,country6,city103
6,country7,city103
7,country8,city103
4,country9,city103
5,country0,city104
4,country1,city104
6,country10,city104
7,country11,city104
9,country12,city104
11,country13,city104
6,country14,city104
6,country15,city104
10,country16,city104
10,country17,city104
5,country18,city104
11,country19,city104
4,country2,city104
8,country20,city104
3,country21,city104
4,country22,city104
3,country23,city104
3,country24,city104
5,country25,city104
8,country26,city104
7,country27,city104
6,country28,city104
11,country3,city104
9,country4,city104
8,country5,city104
5,country6,city104
9,country7,city104
5,country8,city104
12,country9,city104
7,country0,city105
3,country1,city105
6,country10,city105
8,country11,city105
7,country12,city105
3,country13,city105
7,country14,city105
8,country15,city105
6,country16,city105
2,country17,city105
6,country18,city105
5,country19,city105
6,country2,city105
7,country20,city105
8,country21,city105
7,country22,city105
4,country23,city105
6,country24,city105
8,country25,city105
5,country26,city105
8,country27,city105
10,country28,city105
7,country3,city105
7,country4,city105
6,country5,city105
12,country6,city105
8,country7,city105
5,country8,city105
8,country9,city105
9,country0,city106
9,country1,city106
6,country10,city106
5,country11,city106
8,country12,city106
8,country13,city106
8,country14,city106
5,country15,city106
8,country16,city106
11,country17,city106
4,country18,city106
4,country19,city106
10,country2,city106
7,country20,city106
9,country21,city106
8,country22,city106
4,country23,city106
6,country24,city106
3,country25,city106
8,country26,city106
7,country27,city106
11,country28,city106
3,country3,city106
6,country4,city106
6,country5,city106
10,country6,city106
6,country7,city106
5,country8,city106
3,country9,city106
9,country0,city107
2,country1,city107
6,country10,city107
5,country11,city107
5,country12,city107
8,country13,city107
11,country14,city107
8,country15,city107
6,country16,city107
5,country17,city107
5,country18,city107
13,country19,city107
5,country2,city107
8,country20,city107
8,country21,city107
6,country22,city107
5,country23,city107
4,country24,city107
3,country25,city107
5,country26,city107
5,country27,city107
4,country28,city107
7,country3,city107
10,country4,city107
6,country5,city107
4,country6,city107
12,country7,city107
8,country8,city107
3,country9,city107
5,country0,city108
8,country1,city108
5,country10,city108
9,country11,city108
6,country12,city108
5,country13,city108
9,country14,city108
5,country15,city108
4,country16,city108
13,country17,city108
8,country18,city108
9,country19,city108
7,country2,city108
4,country20,city108
6,country21,city108
3,country22,city108
14,country23,city108
5,country24,city108
7,country25,city108
7,country26,city108
9,country27,city108
8,country28,city108
6,country3,city108
8,country4,city108
2,country5,city108
6,country6,city108
5,country7,city108
8,country8,city108
7,country9,city108
5,country0,city109
1,country1,city109
6,country10,city109
8,country11,city109
9,country12,city109
8,country13,city109
11,country14,city109
10,country15,city109
7,country16,city109
6,country17,city109
9,country18,city109
9,country19,city109
5,country2,city109
4,country20,city109
7,country21,city109
5,country22,city109
5,country23,city109
5,country24,city109
5,country25,city109
11,country26,city109
8,country27,city109
4,country28,city109
10,country3,city109
6,country4,city109
8,country5,city109
10,country6,city109
7,country7,city109
6,country8,city109
5,country9,city109
4,country0,city11
10,country1,city11
9,country10,city11
5,country11,city11
5,country12,city11
8,country13,city11
8,country14,city11
14,country15,city11
5,country16,city11
10,country17,city11
6,country18,city11
8,country19,city11
1,country2,city11
10,country20,city11
4,country21,city11
9,country22,city11
14,country23,city11
3,country24,city11
17,country25,city11
6,country26,city11
6,country27,city11
4,country28,city11
6,country3,city11
4,country4,city11
8,country5,city11
6,country6,city11
10,country7,city11
11,country8,city11
10,country9,city11
9,country0,city110
8,country1,city110
6,country10,city110
6,country11,city110
5,country12,city110
3,country13,city110
6,country14,city110
8,country15,city110
4,country16,city110
6,country17,city110
4,country18,city110
2,country19,city110
8,country2,city110
3,country20,city110
4,country21,city110
9,country22,city110
8,country23,city110
5,country24,city110
10,country25,city110
12,country26,city110
10,country27,city110
4,country28,city110
6,country3,city110
5,country4,city110
4,country5,city110
4,country6,city110
9,country7,city110
12,country8,city110
4,country9,city110
4,country0,city111
8,country1,city111
8,country10,city111
4,country11,city111
9,country12,city111
8,country13,city111
9,country14,city111
8,country15,city111
6,country16,city111
7,country17,city111
4,country18,city111
7,country19,city111
4,country2,city111
5,country20,city111
8,country21,city111
7,country22,city111
6,country23,city111
5,country24,city111
6,country25,city111
9,country26,city111
8,country27,city111
7,country28,city111
3,country3,city111
7,country4,city111
11,country5,city111
8,country6,city111
5,country7,city111
3,country8,city111
8,country9,city111
9,country0,city112
8,country1,city112
8,country10,city112
6,country11,city112
6,country12,city112
6,country13,city112
7,country14,city112
2,country15,city112
7,country16,city112
7,country17,city112
9,country18,city112
9,country19,city112
4,country2,city112
5,country20,city112
7,country21,city112
8,country22,city112
11,country23,city112
10,country24,city112
11,country25,city112
6,country26,city112
4,country27,city112
8,country28,city112
6,country3,city112
7,country4,city112
